,d_size,layer
0,76800.0,block1_conv1
1,1638400.0,max_pooling2d
2,1625625.0,batch_normalization
3,1625625.0,block1_conv2
4,1638400.0,batch_normalization_1
5,1625625.0,block1_pool
6,409600.0,block2_conv1
7,819200.0,max_pooling2d_1
8,793800.0,batch_normalization_2
9,793800.0,block2_conv2
10,819200.0,batch_normalization_3
11,793800.0,block2_pool
12,204800.0,block3_conv1
13,409600.0,max_pooling2d_2
14,384400.0,batch_normalization_4
15,384400.0,block3_conv2
16,409600.0,batch_normalization_5
17,384400.0,block3_conv3
18,409600.0,block3_conv4
19,409600.0,block3_pool
20,102400.0,block4_conv1
21,204800.0,max_pooling2d_3
22,180000.0,batch_normalization_6
23,180000.0,block4_conv2
24,204800.0,batch_normalization_7
25,180000.0,block4_conv3
26,204800.0,block4_conv4
27,204800.0,block4_pool
28,51200.0,block5_conv1
29,51200.0,max_pooling2d_4
30,39200.0,batch_normalization_8
31,39200.0,block5_conv2
32,51200.0,batch_normalization_9
33,39200.0,block5_conv3
34,51200.0,block5_conv4
35,51200.0,block5_pool
36,12800.0,dense
37,19140.625,global_average_pooling2d
38,390.625,dense_1
